,val_loss,val_accuracy,activation,batch_size,dropout,embedding_matrix,first_neuron,lr,number_of_layers,reduce_dim,trainable,word_embeddings_architecture
172,1.58911,0.78653,relu,32,0.2,gloVe,64,1.7000000000000002,2,True,True,gru
29,1.50553,0.78653,selu,16,0.2,fastText,64,1.25,4,True,True,gru
43,1.28485,0.78653,selu,16,0.5,word2vec,8,0.9500000000000001,2,False,True,bilstm
3,0.63573,0.78756,relu,32,0.5,word2vec,8,0.5,3,True,True,bilstm
126,0.91874,0.78756,sigmoid,16,0.5,fastText,128,1.1,4,False,True,bilstm
77,1.66879,0.7886,tanh,32,0.8,word2vec,256,1.85,3,False,True,dense
54,0.81498,0.7886,tanh,16,False,gloVe,16,0.9500000000000001,1,False,True,dense
171,0.77201,0.7886,relu,16,0.2,gloVe,48,1.1,1,True,False,bilstm
193,1.16343,0.78964,sigmoid,32,False,suc,128,0.5,2,False,True,bilstm
133,1.351,0.78964,elu,32,0.2,gloVe,8,1.85,3,False,True,bilstm
45,1.20182,0.79067,sigmoid,32,False,fastText,48,1.7000000000000002,3,False,True,bilstm
27,0.67243,0.79067,tanh,64,0.5,suc,8,0.5,3,True,True,dense
120,1.41132,0.79067,selu,64,False,word2vec,256,0.8,4,True,True,bilstm
155,0.87571,0.79171,elu,64,0.5,word2vec,16,0.65,1,True,True,cnn
78,0.632,0.79171,selu,64,False,gloVe,256,0.5,1,True,True,dense
56,1.07339,0.79171,selu,64,0.5,fastText,16,0.5,3,False,True,dense
49,1.02611,0.79171,sigmoid,64,0.5,fastText,128,1.5500000000000003,1,False,True,bilstm
81,1.17127,0.79275,tanh,64,0.2,word2vec,128,1.7000000000000002,2,False,True,cnn
144,1.25826,0.79482,selu,64,False,gloVe,16,1.5500000000000003,2,True,True,bilstm
34,0.77564,0.79482,elu,64,0.8,word2vec,256,0.65,1,True,True,cnn
84,0.98779,0.79585,tanh,64,0.5,fastText,128,1.25,4,True,True,bilstm
94,1.04953,0.79585,elu,16,0.2,gloVe,16,0.8,4,False,True,bilstm
95,1.42946,0.79585,selu,16,0.5,fastText,16,1.25,2,False,True,dense
23,0.97817,0.79689,tanh,16,0.5,suc,48,1.5500000000000003,3,False,True,cnn
117,0.81065,0.79793,selu,16,0.5,word2vec,64,0.5,4,False,True,bilstm
190,1.2104,0.79793,selu,32,False,fastText,256,1.5500000000000003,3,False,True,dense
128,0.46134,0.79793,tanh,64,0.5,suc,128,1.4000000000000001,4,True,False,bilstm
108,0.83399,0.79793,sigmoid,32,0.5,word2vec,16,0.9500000000000001,1,False,True,gru
